link,text,date,user,likes,quotes,retweets,comments
https://twitter.com/SOLOVENEX_/status/1837618723538014486#m,Somos venezolanos. ¡Somos hermanos!   𝘼𝙍𝘼𝙈𝘽𝙐𝙍𝙐 🔗 𝙈𝘼𝘾𝙃𝙄́𝙎 = 🫂❤️🇻🇪  #VenEx,"Sep 21, 2024 · 10:23 PM UTC",@SOLOVENEX_,762,1,75,3
https://twitter.com/SOLOVENEX_/status/1837883159553208575#m,No dejemos ir este momento (😂)   ¡Comenta si tienes un pana así! ⬇️  | 🎥 Vía: @Lavinotintopod |,"Sep 22, 2024 · 3:54 PM UTC",@SOLOVENEX_,3,0,1,0
https://twitter.com/SOLOVENEX_/status/1837660758093844989#m,"𝗝𝗛𝗢𝗡𝗗𝗘𝗥 𝗖𝗔́𝗗𝗜𝗭 continúa siendo factor diferencial con el Club León en la Liga MX y este sábado definió la victoria 1-0 sobre Atlético San Luis.   El delantero caraqueño disputó 66’ minutos y anotó su 𝗤𝗨𝗜𝗡𝗧𝗢 𝗚𝗢𝗟 en ocho partidos con ‘los felinos’.  .@SofascoreLA valoró su actuación en 7.4 siendo uno de los mejores de su equipo y consolidándose como uno de los ‘9’  más efectivos del fútbol mexicano.   “¡𝗧𝗥𝗔𝗡𝗤𝗨𝗜𝗟𝗢𝗦, 𝗬𝗢 𝗘𝗦𝗧𝗢𝗬 𝗔𝗤𝗨𝗜́!” — 🇻🇪  #VenEx #LigaMX #Cádiz #SoloVenex   | 📸 @clubleonfc |","Sep 22, 2024 · 1:10 AM UTC",@SOLOVENEX_,250,0,26,0
https://twitter.com/clubleonfc/status/1837648994803065343#m,¡GOOOOOOOOOOOOOOOL DE LA FIEEEEERA!  ¡GRÍTALO CON @Telcel!,"Sep 22, 2024 · 12:23 AM UTC",@clubleonfc,370,4,20,18
https://twitter.com/SOLOVENEX_/status/1837508611389444545#m,"“𝗔 𝗺𝗶 𝗺𝗲 𝗽𝗮𝗿𝗲𝗰𝗲 𝘂𝗻𝗮 𝗶𝗿𝗿𝗲𝘀𝗽𝗼𝗻𝘀𝗮𝗯𝗶𝗹𝗶𝗱𝗮𝗱 𝘀𝘂𝗯𝗶𝗿 𝗮 𝗹𝗮 𝗮𝗹𝘁𝘂𝗿𝗮 𝘆 𝗻𝗼 𝘁𝗼𝗺𝗮𝗿 𝘂𝗻 𝘁𝗶𝗽𝗼 𝗱𝗲 𝗽𝗿𝗲𝘃𝗶𝘀𝗶𝗼́𝗻”. 🎙️🔥🇻🇪  La palabra de César Farías a @JOSEHUGOILLERA sobre el factor altura. “Venezuela lo acaba de pagar muy caro”, declaró el estratega en esta entrevista.  La @SeleVinotinto viene de caer 4-0 en El Alto (vs Bolivia) por las Eliminatorias CONMEBOL.   📲 • ¡Te leemos en los comentarios! ⬇️  #Vinotinto #Farías #Video #SoloVenex","Sep 21, 2024 · 3:06 PM UTC",@SOLOVENEX_,280,18,60,30
https://twitter.com/SOLOVENEX_/status/1837618785487905231#m,| 📸 @RealSociedad |,"Sep 21, 2024 · 10:23 PM UTC",@SOLOVENEX_,1,0,0,0
https://twitter.com/SOLOVENEX_/status/1837614128396972102#m,"🇻🇪 𝗝𝗢𝗡 𝗠𝗜𝗞𝗘𝗟 𝗔𝗥𝗔𝗠𝗕𝗨𝗥𝗨 sigue completando buenas actuaciones en LaLiga con la @RealSociedad y este sábado no fue la excepción en el empate 0-0 con el @realvalladolid de Machís.   El lateral derecho venezolano jugó los 90’ minutos y fue el segundo mejor valorado de su equipo por la reconocida APP @sofascorela con 𝟳.𝟳 𝗣𝗨𝗡𝗧𝗢𝗦.  𝗡𝗔𝗗𝗜𝗘 en su equipo ganó más duelos que él [8/12] y fue el jugador que más ocasiones generó [03].  📊 • 𝗧𝗮𝗺𝗯𝗶𝗲́𝗻 𝗱𝗲𝗷𝗼́ 𝗹𝗼𝘀 𝘀𝗶𝗴𝘂𝗶𝗲𝗻𝘁𝗲𝘀 𝗻𝘂́𝗺𝗲𝗿𝗼𝘀:  ➤ 80% en pases precisos. ➤ 03 pases claves. ➤ 03 despejes completados.  ➤ 02 disparos bloqueados.  .@JonAramburu3 como @parley.com.ve, las gana todas fácil, rápido y seguro. ¡𝗕𝗘𝗦𝗧𝗜𝗔 𝗗𝗘𝗙𝗘𝗡𝗦𝗜𝗩𝗔!","Sep 21, 2024 · 10:05 PM UTC",@SOLOVENEX_,23,0,3,0
https://twitter.com/SOLOVENEX_/status/1837317464524476486#m,"¡𝗥𝗢𝗡𝗗𝗢́𝗡 𝗘𝗡 𝗦𝗨 𝗦𝗔𝗟𝗦𝗔! 🇻🇪  Así marcó su 11º gol en la Liga MX con el Pachuca, que iguala de manera transitoria 2-2 con Puebla.  ‘El gladiador’ venezolano ya suma 24 goles en 2024. Ningún jugador que haga vida en el fútbol mexicano ha anotado más goles que él en el calendario natural.  Además, es el cuarto futbolista venezolano con más tantos en la máxima categoría mexicana, superado por: Giancarlo Maldonado (44), Juan Arango (41) y Fernando Aristeguieta, quien suma 25. 𝗜𝗡𝗔𝗚𝗢𝗧𝗔𝗕𝗟𝗘.  #VenEx #LigaMX #Rondón #SoloVenex   | 🎥 Vía: @TuzosOficial |","Sep 21, 2024 · 2:26 AM UTC",@SOLOVENEX_,85,1,13,1
https://twitter.com/SOLOVENEX_/status/1837236188089868356#m,👴🏻,"Sep 20, 2024 · 9:03 PM UTC",@SOLOVENEX_,1,0,0,1
https://twitter.com/carlostaracher/status/1837228099831845241#m,"A quienes tenemos años trabajando para que cosas como estas sucedan, se nos infla el pecho. Parece simple, pero “detallitos” como este hablan mucho de que algunas cosas están cambiando.   Machís y Aramburu en el afiche promocional del #RealValladolidRealSociedad. ¡Qué orgullo! 🇻🇪","Sep 20, 2024 · 8:31 PM UTC",@carlostaracher,601,0,92,8
https://twitter.com/SOLOVENEX_/status/1837164351058334127#m,A nombre de Xedny Sport: “¡𝗰𝗿𝗲𝗲 𝗲𝗻 𝘁𝗶!”  https://www.instagram.com/xednysport?igsh=eXR4OWwxZTU0c2V1,"Sep 20, 2024 · 4:18 PM UTC",@SOLOVENEX_,1,0,0,0
https://twitter.com/SOLOVENEX_/status/1837163891912016274#m,Los nuevos socios de David Martínez y José “Brujo” Martínez en #LAFC y #Corinthians: Olivier #Giroud y el neerlandés Memphis #Depay. 𝗙𝗢𝗢𝗢𝗥𝗠𝗜𝗗𝗔𝗕𝗟𝗘 (🎵)  #VenEx #MLS #Brasileirao #SoloVenex,"Sep 20, 2024 · 4:16 PM UTC",@SOLOVENEX_,261,0,32,3
https://twitter.com/SOLOVENEX_/status/1837124256066355653#m,"De criarse en el barrio El Viñedo, uno de los más peligrosos de su ciudad, a firmar con un equipo del fútbol europeo. Es es la historia de @deividtegues: una escrita a base de superación.  El Sochi ruso abre sus puertas al delantero categoría ‘2004’ tras su etapa de formación en el #FUTVE con Deportivo Anzoátegui y el Deportivo Táchira.   ¡𝗦𝗢𝗡 𝗟𝗢𝗦 𝗦𝗨𝗘𝗡̃𝗢𝗦 𝗤𝗨𝗘 𝗦𝗘 𝗖𝗨𝗠𝗣𝗟𝗘𝗡! 🩵  #VenEx #Motivación #Tegues #SoloVenex","Sep 20, 2024 · 1:38 PM UTC",@SOLOVENEX_,4,0,0,0
https://twitter.com/SOLOVENEX_/status/1836788008357417004#m,‘𝗦𝗔𝗩𝗔’: ¡𝗘𝗟 𝗠𝗔́𝗦 𝗩𝗔𝗟𝗜𝗢𝗦𝗢! 🇻🇪  @QSavarino10 fue elegido el #HeroOfTheMatch este miércoles en el 0-0 entre @Botafogo y @SaoPauloFC por la ida de los cuartos de final de la Libertadores.   El maracucho fue titular y jugó completo en el duelo ante el equipo de Nahuel Ferraresi:   ➤ 0️⃣3️⃣ pases claves. ➤ 0️⃣1️⃣ tiro a puerta (remate al palo)  ➤ 2️⃣1️⃣ pases precisos de 25 (84%) ➤ 9️⃣0️⃣ minutos disputados.   𝗗𝗜𝗙𝗘𝗥𝗘𝗡𝗖𝗜𝗔𝗟 y pieza 𝗖𝗟𝗔𝗩𝗘 = #JS10 ⚡️  #VenEx #Savarino #Libertadores #SoloVenex  | 📸 @Libertadores | 📊 @idiomafutve |,"Sep 19, 2024 · 3:22 PM UTC",@SOLOVENEX_,8,0,0,0
https://twitter.com/LAFC/status/1836616613468213733#m,62' | GOAAALLL DAVID MARTÍNEZ  #LAFCvATX 1-1,"Sep 19, 2024 · 4:01 AM UTC",@LAFC,193,1,15,11
